A,B
"[1.0426918869051802, -1.519808032887275, 0.7044206722814774, 0.9773795857095482, 1.243899104768909, -0.3327867236705839, 2.373482526698717, -1.6662987220746106, 1.193998023296863, 2.1457283036053063, 0.21351875761961123, -0.4215060092620314, 0.5132837394652531, -1.847657969928988, 2.0955513877000063, -1.3120026011768857, -0.3325678599289354, 0.8478910698865428]",4
"[1.184675584452652, 0.49972366543757035, 1.5993580061987884, -0.7528663523032609, 0.12494586525824421, 0.04443793442751352, -0.004835944563081578, -1.6327352717414783, -0.5324443276477592, 1.5907820568853621, -1.0765305954555204, -0.7439754892757281, 0.6788865118965782, -1.3130473190635954, -0.33490042535517894, -0.5547732752341187, -1.072326126750499, 1.4382839054902588]",14
"[-1.6968628693379548, -1.832611209226196, -1.5989833965701286, 0.6612588220666126, -0.21711747538944448, 1.3227123040046385, -0.10548026845463312, 0.8366896960940869, 1.402117666338047, -1.2358777417675777, 1.9300777572966796, -0.7272176941524207, 0.946330620169683, -0.06974310527154808, 0.1455272410925594, 1.6570908214254731, -1.2559517496827988, 0.2828686447022825]",20
"[0.1394644389678412, -0.7993322065111669, 0.3368823411289048, 1.1110502380012737, 0.11835573295120647, -0.9072951309074219, 1.413314171800925, -1.6818552558919713, -0.2632579782588364, -1.4031169230534393, -0.2997321063475126, 0.5760182160179304, -1.6146430138834131, -0.2954441629320024, -0.03139670994746789, 0.8231897503492512, -0.36553208596513276, 0.021280360386606446]",38
"[-1.101791035118275, -0.6221486129529747, -0.5402263747983098, 0.11056822595772006, -0.6633504422811698, 0.24144334590486408, -0.6237141520170475, 0.6853159704792072, -0.18494055202802284, 0.3023037360035547, -1.8830789681854545, -0.3352019257847959, -0.7204603519138849, -0.9517903341210918, -1.3656263933839625, -1.2141660036407835, -0.648030646870507, 0.9825007412873148]",14
"[-0.4737307923354514, 0.573671106766239, 0.058382180292225944, 0.3334139717077875, -0.7275973472416937, -0.9918442632707196, -0.14791745487177588, 0.07281976374814401, 0.18825852336551588, 0.8686690674440334, 0.5078883396876585, -0.1498476553272199, 0.37907698583529026, -0.5023754015572663, 1.181501672664273, -0.16146808690064451, -0.14840662508053235, 0.17043897327557805]",0
"[-1.765195340213909, -0.14063602745474044, 0.4796420422943246, -0.7061145432454395, -0.6088097941116704, 1.5715125109415156, -0.6242180548489499, 1.2008056909144935, -0.930710080878969, -1.4557860130897164, 0.8365638752069962, -0.2326729161290708, -1.2405092609446835, 0.050805916882295854, -0.5720534372396039, -0.3148494493629063, 0.05858798233565973, -1.4828876744306942]",0
"[0.6335532170157125, 1.49197598511651, -0.798058381707815, 1.5191418261568497, 1.129058272318967, 0.867154898771909, 1.6252988771505497, -0.10377940534560476, -0.17734590752172935, 1.074177692512272, 0.27149275577484755, 0.7787968946326664, -0.4977510642444237, -0.7016342779084841, 0.6219624686426761, 0.014988821821325667, 0.7986150891847528, 0.24280064541081073]",28
"[-1.1343076276916173, 0.010209649725621845, -1.5444580469467257, -0.3009977669562424, 1.6040771005657537, 0.91744621150894, 1.5045992630877005, 0.5635717845101345, -0.8432549768960118, 0.8297915120140202, 1.0622965348507665, -1.4136224658747323, 0.3000817287459457, 0.2578405767626233, -0.8508620187752635, -2.1548802569260403, -1.4423770164210656, -0.6194867835319281]",20
"[0.03893651070262488, 1.2398268805443005, 1.0555769994061566, -1.03207568579176, -0.10515534575601411, 0.8422930171534108, -0.10832016001849423, 0.6080962886598327, 0.732833990441159, -0.8530653116302396, -0.7918620934955082, -1.0798779759368007, 0.5370093847315416, 1.1589771033470806, 0.93611235067575, 0.2777453273943383, 1.1382753304824014, -0.32134656376945925]",20
