A,B
"[-0.24031853989792, -0.59541366059604, -0.32671135198345, 0.08049828822603, -0.25273367541062, 0.73126245725067, -0.23832409026161, 1.22822455148513, -1.38825672677882, 0.04751548994917, 0.66287726068835, 0.60712017464151, 0.11281670514217, -0.08985931238573, 0.01431356006751, 1.38746348277964, -0.28282103767187, -0.70620671956474]",62
"[-0.79381979962694, -0.65394266348924, 0.21475234191629, -0.12222833786307, -0.2025140310947, 0.90026119543522, 0.55406937490137, 0.40034718048634, -2.34712906032249, -1.04987769465958, 0.31588130048192, 1.0211725094359, -0.23693739206362, 0.55616462391111, 0.96224352294167, 0.8250727822544, -0.52088811903954, -0.62396702269158]",42
"[-0.70742156190352, -0.49641116081564, 0.68762458276172, 0.16456806193652, -0.03330220801789, 0.00447422585239, 0.28290505797158, 0.6986245719063, -0.56602584325342, -1.49117418304841, -0.54044077126032, 1.54074784040686, -0.49628057488922, -0.22464832436662, -0.59480821673865, 1.35280806282901, -0.05694134765904, -0.80332008419707]",34
"[0.13937208349057, -0.37355855334104, 0.0092571055678, 0.10124744378329, -0.09508397261068, 0.01749751689295, 0.00300551933814, 0.10845447902207, -0.57229200626093, 0.11262631308997, 0.44154871712737, 0.74117592948294, -0.13219262688579, -0.2527419446547, -0.50235095063103, 0.55549110150165, -0.4669791669707, -0.94098747269042]",26
"[0.30449418916147, -0.3296707137581, 0.05648875966431, -0.08650825874398, -0.42665144034538, -0.35355224952309, 0.18468226689474, 1.18425837682497, -1.2789943156388, -2.01868153296722, -0.17933617173283, 1.05754235060413, -0.60629242115547, -0.02992664015461, -0.3451517768381, 1.00883946726421, -0.08053423468839, -0.40960860397109]",26
"[-0.2490545222443, -0.09621507455461, 0.12746051130075, -0.19337459778355, 0.37868190338707, 0.46940263316978, 0.7529486774809, -0.1907922171718, -0.40440056738655, 0.12421366810866, -0.12098396800443, 0.51231685290522, -0.40597188217164, 0.32470111999683, 0.13904876302863, 1.0056927242663, -0.42219145818519, -0.74691603865649]",36
"[-0.45437236741621, -0.65615604436444, 0.26524621709815, -0.38754840168181, -0.20213282760286, -0.07948817493196, -0.26002173663327, -0.12266862365605, -0.01260212038033, -2.31913283394578, 0.04103425763705, 1.22563178892608, 0.06198875920209, -0.30950562993162, 0.30179025297128, 0.14706325529345, -0.58244978675575, -0.08084860448105]",46
"[-0.53600939406992, -0.48452365972982, 0.47686419737752, 0.06009251439137, 0.16833375816054, 0.16176567552617, 0.44456807634258, 1.3169397723241, -1.50284092749148, -1.32129030930769, 0.09844335478247, 0.60257516591705, -0.30329200302134, 0.07692192198485, -0.91764480691187, 0.16432465217881, 0.19619679525176, 0.01541705306556]",26
"[-0.67685316685723, -0.52462858348628, 0.39094748701417, 0.15024145706796, -0.25783607211073, 0.14211235506014, 0.28483716101912, 1.62094124699359, -0.01050840605007, -1.02788931874537, -0.88640657060718, 0.44959066826954, -0.32864053789535, -0.2134541158613, -0.09805777039858, 0.69991744595199, 0.22539495046879, -0.27875293290315]",34
"[0.12400995625186, -0.49645351447114, -0.38416444073941, -0.01444023517802, 0.50253037956242, -0.09049858487192, -0.88585063096644, 0.90788068404351, -0.52701379702996, -2.04349712394814, -0.03104634162509, 0.77761512862477, 0.13092467682049, -0.74197525462927, -0.04549137249139, 0.371626876144, 0.00268256217582, 0.1364920502243]",34
