A,B
"[0.0001737657566190095, 0.0024016712936154854, 0.008257273874374997, -0.020411925819080627, -0.14037343222674772, 0.5965843504736336, 0.01614663180398334, -0.012173870865542844, 0.002292529406907334, 0.19629469984115483, -0.07399275311086509, 0.5965843507330527, 0.010908442187801161, -0.027997931774804728, 0.017957446085840167, -0.161364751081555, 0.20701001179975798, 0.5965843470045497]",48
"[0.000173773953522238, 0.002401656158330286, 0.008257271824599803, -0.020411922541660302, -0.14037343258837542, 0.5965843378509628, 0.016146629293788854, -0.012173873774697008, 0.002292536858652078, 0.19629469826579785, -0.0739927544219005, 0.5965843481188446, 0.010908446319312114, -0.027997936052618896, 0.017957456204071298, -0.16136474575413537, 0.20701001811372002, 0.596584332156765]",48
"[0.0001737763374277629, 0.002401670098972935, 0.008257282474791502, -0.020411928366836276, -0.14037342135786945, 0.5965843459684222, 0.016146633599566182, -0.012173877623437393, 0.002292548834470317, 0.1962946958645371, -0.07399275330040855, 0.5965843415003834, 0.01090842678185447, -0.02799792539773614, 0.017957453355957186, -0.16136474668944792, 0.2070100254275298, 0.5965843325263258]",112
"[0.00017376487966338144, 0.0024016597233582743, 0.008257287626824024, -0.020411923854234914, -0.140373422867894, 0.596584344142757, 0.016146644961116906, -0.012173868692214429, 0.002292534095759663, 0.19629468950308412, -0.07399274108372028, 0.5965843429816252, 0.010908438032613982, -0.027997935744689794, 0.017957450501817317, -0.16136474362337566, 0.20701000902235392, 0.5965843489330908]",111
"[0.00017377057497166155, 0.0024016604070631266, 0.008257288354073033, -0.02041192339914241, -0.14037342706275516, 0.596584344199142, 0.01614662705702401, -0.012173878427392327, 0.002292547792719542, 0.19629468609157694, -0.07399274985596056, 0.5965843488625314, 0.010908435442925872, -0.027997922313940275, 0.01795744583125323, -0.1613647361261305, 0.20701001958195375, 0.5965843343589883]",40
"[0.0001737685208205293, 0.0024016608297645226, 0.008257274579408183, -0.020411917940485053, -0.1403734294562704, 0.5965843446395064, 0.016146633977389566, -0.012173870727014539, 0.0022925403249714903, 0.19629468922286825, -0.07399274223068229, 0.5965843376697331, 0.010908443504494103, -0.027997933926804656, 0.017957440605739523, -0.1613647331816863, 0.20701001948588343, 0.5965843467615219]",48
"[0.0001737673298046642, 0.0024016662323797368, 0.008257284466124322, -0.0204119246317739, -0.14037342675858921, 0.5965843560653145, 0.016146639044401216, -0.0121738725507984, 0.002292537081707664, 0.19629469336661534, -0.07399274652740569, 0.5965843537138776, 0.010908430083427522, -0.02799792774271053, 0.017957444709960402, -0.16136475342360493, 0.20701001278302894, 0.5965843364899261]",64
"[0.00017376422521176425, 0.0024016582566002997, 0.008257265791028376, -0.020411916234339075, -0.14037342480534892, 0.5965843491469756, 0.016146642210033868, -0.01217387040082493, 0.002292535567028761, 0.19629469195149826, -0.07399275345893126, 0.5965843297743361, 0.010908434862806092, -0.027997924789795993, 0.01795744703906064, -0.16136474414474486, 0.2070100117154446, 0.5965843391842652]",48
"[0.0001737667677627225, 0.002401667723019132, 0.00825728010106777, -0.020411918834643, -0.1403734310061148, 0.5965843441980225, 0.016146643656298143, -0.012173867123738715, 0.002292540388504946, 0.19629469692293713, -0.07399274424636153, 0.596584328973643, 0.010908435359240973, -0.027997936214283464, 0.017957448646138897, -0.16136475170963097, 0.20701002038568034, 0.5965843427000751]",126
"[0.0001737601120795265, 0.0024016616411356643, 0.008257281615704245, -0.020411909988103872, -0.1403734329177898, 0.5965843364874645, 0.016146628198790796, -0.012173864214957194, 0.0022925357715007713, 0.19629469306843628, -0.07399274917303826, 0.596584349517995, 0.010908429880470997, -0.027997929200126035, 0.01795744404716777, -0.16136474331971143, 0.20701001458156232, 0.5965843437560913]",48
