A,B
"[0.45127523728277, -0.343780596298, -0.00621403615069, -1.8236690381894, -0.31546137848318, -1.27205144554386, -0.18044639454061, 0.16409843619818, 0.2456674637063, 1.41573366624586, 1.17123999425447, 0.12987395320844, 0.04426419013898, 0.04199741532869, -0.08656969185152, -0.32374881315496, -0.51838705950675, 0.22607068742993]",44
"[-0.09422487704412, -1.46243573682323, -0.84782709396649, -0.84530481425364, -2.0394032198231, -0.77709727059573, -0.73425020213576, 0.44574931424418, 1.14070563326161, 1.04814707911275, 1.10918273028624, 0.00239337510636, -0.11084533500835, -0.13245242958546, 0.04946557035236, -0.3489605352142, -0.50244776246815, 0.22828822225659]",26
"[0.45128484325267, -0.34376501909213, -0.00621257150716, -1.82366947961847, -0.31546312660919, -1.27205295081027, -0.18044624712944, 0.16410551792814, 0.24566445139684, 1.41574541308148, 1.17122806276428, 0.12987726125774, 0.04426624384656, 0.04199897812608, -0.08657058818436, -0.3237480043104, -0.51838684608427, 0.22607055692779]",44
"[-1.24791062207659, -1.53389701352684, -0.17249127383089, -2.03012460426392, -1.37139252355989, -0.81211560306097, -0.7901305484977, 0.32026741084514, 0.85634391074496, 1.18946779478925, 1.31281020691205, -0.02545319820354, -0.28858817171681, -0.24094326071292, 0.08992806242456, -0.22667872287591, -0.41130981677543, 0.13434592265523]",44
"[0.06406261169751, -0.32479504939905, -0.46320476078596, -1.41514907539527, -1.86205014918571, -0.57441798969868, -0.73417875221653, 0.35350001436132, 0.67063719942446, 0.90614850832652, 1.12223673182968, 0.0318237570161, 0.07364439745015, -0.10209561012352, -0.14551131484157, -0.3295273429486, -0.33398811073805, 0.05174923703663]",30
"[-0.42576881003815, -0.09670819474279, 0.01978740829703, -0.84219646752389, -0.41322392908821, -0.33918768217247, -0.37132703239449, -0.19434634392627, -0.30054563978368, -0.27867190902047, -0.41197039428902, 0.01106447228175, -0.0640138214098, 0.13220642427268, 0.26333883924109, -0.27896030500489, -0.447152965658, 0.23643459633803]",20
"[-0.69289948522475, -2.16784607438131, -1.76902927756542, -0.65372316140384, -1.33443755758862, -0.41034194222987, -0.52161948634076, 0.7565309933987, 1.15154676816919, 0.70300721860429, 0.95465772996974, 0.10954981046666, 0.09604548005741, 0.02306038272388, -0.29753552215319, -0.21016092766244, -0.27502512064833, 0.09342438707767]",26
"[-1.96003125417056, -0.69153132776642, 0.26160102100927, -0.98096169180889, -0.66832254196116, 0.08183712215905, 0.20410340043023, 0.28638879403794, -0.0407769351024, 0.29780171889777, 0.44917815028807, -0.04282316097226, -0.14082524061565, -0.13375401490137, 0.10633681683999, -0.32499781669355, -0.48355065642487, 0.21636637502427]",28
"[0.06407067560507, -0.32478020151189, -0.4631942336791, -1.41516591864598, -1.86206102503854, -0.57442215957031, -0.73417850682155, 0.35349987379676, 0.67063553429915, 0.90614631982683, 1.1222341999747, 0.03182631165717, 0.07363602952001, -0.10209908370816, -0.14551366737733, -0.32953028312984, -0.33398422560573, 0.05174590895869]",19
"[-1.06041981229274, -0.77767475412541, 0.70378412054711, -1.73590423888552, -1.1344454779986, -0.56884814126237, 0.32661266003624, 0.19660942624853, -0.17551019451096, 0.70688890431934, 0.81312207756714, -0.07605309384063, -0.12743153701979, -0.20709687706773, -0.13247786772813, -0.32943723019296, -0.49593887594021, 0.21754563428983]",40
"[-0.06996197921599, -0.11916780499978, -1.03278600584649, -0.14138079525659, 0.26115230473458, -0.10825930842349, -0.78614706316558, -0.63832061625528, -0.12315129986883, 0.28271186101747, 0.13126611624962, -0.0146897423559, -0.01648859989975, 0.20636442387609, 0.30607671859034, -0.17851180576877, -0.38561762152599, 0.21849881384216]",16
"[-0.08932550637091, -0.84629805171808, 1.03463229515687, -0.92577861284162, 0.00642586544696, -1.12270833277987, -1.24182142660494, -0.53602982490911, 0.40457478260544, 1.06480070619018, 0.8521443259706, -0.01881259376739, -0.02913990152573, -0.00042263873922, 0.04394085015993, -0.01941854254702, -0.07438850970723, 0.02213466710588]",40
"[-1.9600182541285, -0.69156447659441, 0.26158095892313, -0.98097052877528, -0.66831273096784, 0.08182265046779, 0.20411946672161, 0.28638488496415, -0.04078703846495, 0.29780802807235, 0.44918041175141, -0.04283728991396, -0.14082583583707, -0.13375676118341, 0.10632552585751, -0.3250007651057, -0.48355440892074, 0.21636542605351]",28
"[-0.41761461773956, 0.03908281474369, -0.00942856167269, -0.81180492505918, -0.44112384735586, -0.27153570206434, -0.39389526049951, -0.21993994094234, -0.24252205889715, -0.19822462442511, -0.32868575450463, -0.02764514733101, -0.06262255758277, 0.13793694000025, 0.26834187559923, -0.27724046914391, -0.44518109303492, 0.23698995284427]",22
"[-0.05696973541705, -2.1842376048622, -0.9790825769752, -1.8721737394888, -1.2676779180776, -0.36383715258082, 0.01855339165736, 0.83136004417709, 0.502405333868, 1.15400387330528, 1.00282657952929, 0.41317874414586, -0.08207711966819, -0.15668614904321, -0.10938510744624, -0.35454352764532, -0.51713917523695, 0.2296452025057]",40
"[0.17060326808781, -0.36009253912711, -0.18760617949911, -1.82820130227079, -1.21616481223632, -0.88619703064553, -0.78009829553176, 0.16040788250987, 0.74739127908753, 1.31703304558471, 1.29390187594928, 0.06956015122369, 0.04431919550945, 0.06113670802063, -0.04906776490089, -0.31466394440254, -0.51429920103781, 0.22762060679249]",48
"[-0.33151442235108, -1.41891620583876, -1.2888291833313, -1.29221608486992, -1.84252998466743, -0.33105258155897, -0.02938132566435, 0.8224589834225, 1.10305630068326, 0.31595985969347, 0.41407824262711, 0.00312850055246, -0.06558446459499, 0.01299841981311, 0.07352042584122, -0.32540800609599, -0.42291920543071, 0.25607368736589]",48
"[-1.65331339934043, -2.05445016751121, -0.79154072874421, -1.27888881641887, -1.39520209990468, -0.50419155567711, -0.80882824628194, 0.30740301756798, 0.85191006772098, 1.19265350113138, 1.30965233960809, -0.01966052256359, -0.09600355654144, -0.0749661520407, -0.18461408545005, -0.32352775099886, -0.45393126777602, 0.18052389855083]",22
"[0.59751301081361, -0.71339317400039, 0.05279931696062, -1.90020987041272, -0.5467378602714, -1.23242987205185, -0.51949649722805, 0.05223330620491, 0.35501395008521, 1.43282577723415, 1.21487814724036, 0.17526228968191, 0.0713924782933, 0.09305430895626, -0.11133325277943, -0.31997917821411, -0.49373290563127, 0.22181861114048]",50
"[0.45343336279573, 0.0829771932591, -0.07054378606031, -0.96321486543277, -0.64465166207227, -0.77382577421498, 0.03052009380793, 0.71602972950166, 0.93989281002384, 0.16084110292804, 0.19101289770478, -0.01266826677361, 0.19727812628064, 0.18696211427344, -0.09169541727249, -0.05301584299658, 0.0744906967003, -0.06527117827411]",38
"[-0.02949298569933, -0.93799657676329, 1.11082141625158, -0.97284528033375, 0.08639444233833, -1.09499272345416, -0.88095884419997, 0.17089453757351, 0.83781807301233, 1.26040808403923, 1.23003795579429, 0.09167038112712, 0.02784976627118, 0.02040824218968, -0.16139988527555, -0.3199647748497, -0.50227861923702, 0.22298339560447]",46
